circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	cow-testis-adult-2	cow-liver-B005	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	cow-testis-adult-3	cow-liver-K006	cow-liver-K011	cow-liver-B008	cow-liver-B022	cow-liver-K013	cow-liver-B004	cow-liver-B027
10:75248664-75292491:-	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
10:75261050-75292491:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:75674947-75711621:-	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
10:76157319-76161618:+	0	0	0	0	0	8	7	0	0	12	0	0	0	0	0	0	0	0
10:76251618-76255420:+	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
10:76253961-76255420:+	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
10:76261374-76263297:+	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
10:76336099-76350024:+	0	0	0	0	0	9	8	0	0	6	0	0	0	0	0	0	0	0
10:76562126-76575211:+	8	0	0	0	10	0	0	0	7	0	0	7	7	6	6	0	0	13
10:76587494-76590521:+	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	6	0	0
10:76589689-76592659:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
10:76589689-76601937:+	9	0	0	0	0	0	0	0	0	0	0	0	6	0	9	6	0	0
10:76591990-76592659:+	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:77662689-77663117:+	0	9	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
10:77662689-77737451:+	0	7	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
10:77812308-77817531:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:7815918-7822841:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
10:7892720-7896921:+	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:79185631-79192249:+	0	0	0	9	0	10	20	0	8	21	8	0	0	0	6	0	0	9
10:79191715-79192249:+	0	0	0	0	0	20	6	0	0	14	0	0	0	0	0	0	0	0
10:79191715-79212041:+	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
10:79538262-79542476:-	0	0	0	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0
10:79558351-79561610:-	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:80902957-80908632:-	0	36	7	67	15	66	74	9	18	47	54	0	9	0	12	8	13	11
10:81007325-81013653:+	0	0	0	0	0	7	0	0	0	13	0	0	0	0	0	0	0	0
10:81387451-81388094:+	12	0	8	9	9	29	77	12	31	34	8	0	20	15	19	7	18	15
10:8202183-8202514:+	0	7	0	9	0	8	0	0	0	9	6	0	0	0	0	0	0	0
10:8211616-8213370:+	0	0	0	0	0	9	14	0	6	7	0	0	0	0	0	0	0	0
10:82207128-82220418:-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:82215520-82220418:-	9	6	0	0	6	15	27	6	0	20	0	0	0	0	0	6	0	0
10:82583562-82585269:+	47	55	58	132	36	126	116	37	79	176	84	43	65	54	33	48	38	54
10:82614825-82637734:+	6	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
10:83135652-83137454:+	0	8	0	15	0	16	11	0	0	13	11	0	0	0	0	0	0	0
10:83203845-83205310:+	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
